Station,On,off,Onboard,Direction,Traincode
San Francisco,149,0,149,S,146
22nd Street,19,1,167,S,146
Bayshore,8,1,174,S,146
South San Francisco,5,3,176,S,146
San Bruno,15,7,184,S,146
Millbrae,59,8,235,S,146
Broadway,0,0,235,S,146
Burlingame,10,8,237,S,146
San Mateo,13,19,232,S,146
Hayward Park,3,7,228,S,146
Hillsdale,11,12,226,S,146
Belmont,7,8,226,S,146
San Carlos,7,12,221,S,146
Redwood City,15,35,202,S,146
Atherton,0,0,202,S,146
Menlo Park,7,18,191,S,146
Palo Alto,23,65,149,S,146
California Avenue,6,21,134,S,146
San Antonio,2,6,130,S,146
Mountain View,11,30,111,S,146
Sunnyvale,1,31,81,S,146
Lawrence,2,8,75,S,146
Santa Clara,0,11,64,S,146
College Park,0,0,64,S,146
San Jose Diridon,0,64,0,S,146
Tamien,0,0,0,S,146
Capitol,0,0,0,S,146
Blossom Hill,0,0,0,S,146
Morgan Hill,0,0,0,S,146
San Martin,0,0,0,S,146
Gilroy,0,0,0,S,146
San Francisco,164,0,164,S,150
22nd Street,12,4,172,S,150
Bayshore,8,1,180,S,150
South San Francisco,7,1,185,S,150
San Bruno,7,4,188,S,150
Millbrae,46,6,228,S,150
Broadway,0,0,228,S,150
Burlingame,15,9,234,S,150
San Mateo,11,22,223,S,150
Hayward Park,9,4,228,S,150
Hillsdale,13,15,227,S,150
Belmont,8,4,230,S,150
San Carlos,7,9,229,S,150
Redwood City,22,40,211,S,150
Atherton,0,0,211,S,150
Menlo Park,8,15,204,S,150
Palo Alto,34,51,188,S,150
California Avenue,8,15,181,S,150
San Antonio,3,17,167,S,150
Mountain View,10,42,136,S,150
Sunnyvale,3,33,106,S,150
Lawrence,2,5,103,S,150
Santa Clara,2,23,82,S,150
College Park,0,0,82,S,150
San Jose Diridon,0,82,0,S,150
Tamien,0,0,0,S,150
Capitol,0,0,0,S,150
Blossom Hill,0,0,0,S,150
Morgan Hill,0,0,0,S,150
San Martin,0,0,0,S,150
Gilroy,0,0,0,S,150
San Francisco,152,0,152,S,152
22nd Street,13,1,163,S,152
Bayshore,4,0,167,S,152
South San Francisco,9,3,173,S,152
San Bruno,9,5,177,S,152
Millbrae,48,6,219,S,152
Broadway,0,0,219,S,152
Burlingame,16,8,226,S,152
San Mateo,10,13,223,S,152
Hayward Park,10,8,225,S,152
Hillsdale,17,16,226,S,152
Belmont,8,13,221,S,152
San Carlos,8,12,217,S,152
Redwood City,26,29,213,S,152
Atherton,0,0,213,S,152
Menlo Park,22,12,223,S,152
Palo Alto,63,42,244,S,152
California Avenue,16,18,242,S,152
San Antonio,9,17,234,S,152
Mountain View,15,38,211,S,152
Sunnyvale,9,42,177,S,152
Lawrence,4,11,171,S,152
Santa Clara,2,47,125,S,152
College Park,0,0,125,S,152
San Jose Diridon,0,125,0,S,152
Tamien,0,0,0,S,152
Capitol,0,0,0,S,152
Blossom Hill,0,0,0,S,152
Morgan Hill,0,0,0,S,152
San Martin,0,0,0,S,152
Gilroy,0,0,0,S,152
San Francisco,223,0,223,S,254
22nd Street,0,0,223,S,254
Bayshore,0,0,223,S,254
South San Francisco,0,0,223,S,254
San Bruno,10,6,227,S,254
Millbrae,38,5,260,S,254
Broadway,0,0,260,S,254
Burlingame,7,9,259,S,254
San Mateo,11,15,255,S,254
Hayward Park,0,0,255,S,254
Hillsdale,17,32,240,S,254
Belmont,18,8,251,S,254
San Carlos,8,11,248,S,254
Redwood City,30,32,246,S,254
Atherton,0,0,246,S,254
Menlo Park,24,21,249,S,254
Palo Alto,155,38,366,S,254
California Avenue,19,12,373,S,254
San Antonio,18,11,381,S,254
Mountain View,16,52,345,S,254
Sunnyvale,9,55,299,S,254
Lawrence,10,19,290,S,254
Santa Clara,1,31,261,S,254
College Park,0,0,261,S,254
San Jose Diridon,2,168,95,S,254
Tamien,0,95,0,S,254
Capitol,0,0,0,S,254
Blossom Hill,0,0,0,S,254
Morgan Hill,0,0,0,S,254
San Martin,0,0,0,S,254
Gilroy,0,0,0,S,254
San Francisco,123,0,123,S,156
22nd Street,17,0,140,S,156
Bayshore,6,3,143,S,156
South San Francisco,17,5,155,S,156
San Bruno,10,6,159,S,156
Millbrae,57,6,210,S,156
Broadway,0,0,210,S,156
Burlingame,15,8,217,S,156
San Mateo,31,14,234,S,156
Hayward Park,26,9,251,S,156
Hillsdale,63,18,296,S,156
Belmont,41,7,330,S,156
San Carlos,26,14,342,S,156
Redwood City,57,42,357,S,156
Atherton,0,0,357,S,156
Menlo Park,51,43,365,S,156
Palo Alto,223,42,546,S,156
California Avenue,66,27,585,S,156
San Antonio,27,32,581,S,156
Mountain View,67,58,590,S,156
Sunnyvale,57,88,559,S,156
Lawrence,60,40,579,S,156
Santa Clara,22,71,529,S,156
College Park,40,6,564,S,156
San Jose Diridon,35,145,454,S,156
Tamien,9,82,381,S,156
Capitol,3,31,352,S,156
Blossom Hill,1,68,285,S,156
Morgan Hill,1,138,149,S,156
San Martin,0,44,105,S,156
Gilroy,0,105,0,S,156
San Francisco,295,0,295,S,258
22nd Street,0,0,295,S,258
Bayshore,0,0,295,S,258
South San Francisco,0,0,295,S,258
San Bruno,6,15,286,S,258
Millbrae,69,13,341,S,258
Broadway,0,0,341,S,258
Burlingame,9,22,328,S,258
San Mateo,30,35,324,S,258
Hayward Park,0,0,324,S,258
Hillsdale,60,41,343,S,258
Belmont,32,8,367,S,258
San Carlos,24,20,370,S,258
Redwood City,133,61,442,S,258
Atherton,0,0,442,S,258
Menlo Park,62,28,475,S,258
Palo Alto,336,40,771,S,258
California Avenue,57,39,789,S,258
San Antonio,39,54,774,S,258
Mountain View,53,94,733,S,258
Sunnyvale,37,145,625,S,258
Lawrence,15,62,578,S,258
Santa Clara,10,88,500,S,258
College Park,0,0,500,S,258
San Jose Diridon,1,288,212,S,258
Tamien,0,212,0,S,258
Capitol,0,0,0,S,258
Blossom Hill,0,0,0,S,258
Morgan Hill,0,0,0,S,258
San Martin,0,0,0,S,258
Gilroy,0,0,0,S,258
San Francisco,644,0,644,S,360
22nd Street,0,0,644,S,360
Bayshore,0,0,644,S,360
South San Francisco,0,0,644,S,360
San Bruno,0,0,644,S,360
Millbrae,95,27,712,S,360
Broadway,0,0,712,S,360
Burlingame,0,0,712,S,360
San Mateo,0,0,712,S,360
Hayward Park,0,0,712,S,360
Hillsdale,62,101,672,S,360
Belmont,0,0,672,S,360
San Carlos,0,0,672,S,360
Redwood City,0,0,672,S,360
Atherton,0,0,672,S,360
Menlo Park,0,0,672,S,360
Palo Alto,221,136,757,S,360
California Avenue,0,0,757,S,360
San Antonio,0,0,757,S,360
Mountain View,55,272,541,S,360
Sunnyvale,0,0,541,S,360
Lawrence,0,0,541,S,360
Santa Clara,0,0,541,S,360
College Park,0,0,541,S,360
San Jose Diridon,0,541,0,S,360
Tamien,0,0,0,S,360
Capitol,0,0,0,S,360
Blossom Hill,0,0,0,S,360
Morgan Hill,0,0,0,S,360
San Martin,0,0,0,S,360
Gilroy,0,0,0,S,360
San Francisco,469,0,469,S,262
22nd Street,0,0,469,S,262
Bayshore,0,0,469,S,262
South San Francisco,0,0,469,S,262
San Bruno,18,43,444,S,262
Millbrae,0,0,444,S,262
Broadway,0,0,444,S,262
Burlingame,12,33,423,S,262
San Mateo,32,64,391,S,262
Hayward Park,0,0,391,S,262
Hillsdale,58,51,397,S,262
Belmont,0,0,397,S,262
San Carlos,66,45,418,S,262
Redwood City,0,0,418,S,262
Atherton,0,0,418,S,262
Menlo Park,0,0,418,S,262
Palo Alto,285,43,660,S,262
California Avenue,96,38,718,S,262
San Antonio,0,0,718,S,262
Mountain View,64,127,655,S,262
Sunnyvale,35,293,397,S,262
Lawrence,0,0,397,S,262
Santa Clara,3,125,274,S,262
College Park,0,0,274,S,262
San Jose Diridon,0,274,0,S,262
Tamien,0,0,0,S,262
Capitol,0,0,0,S,262
Blossom Hill,0,0,0,S,262
Morgan Hill,0,0,0,S,262
San Martin,0,0,0,S,262
Gilroy,0,0,0,S,262
San Francisco,141,0,141,S,264
22nd Street,38,2,177,S,264
Bayshore,8,9,176,S,264
South San Francisco,59,11,224,S,264
San Bruno,18,12,230,S,264
Millbrae,56,7,279,S,264
Broadway,0,0,279,S,264
Burlingame,24,37,265,S,264
San Mateo,31,10,286,S,264
Hayward Park,44,24,306,S,264
Hillsdale,82,44,344,S,264
Belmont,33,34,344,S,264
San Carlos,50,17,377,S,264
Redwood City,148,53,472,S,264
Atherton,0,0,472,S,264
Menlo Park,131,51,552,S,264
Palo Alto,0,0,552,S,264
California Avenue,0,0,552,S,264
San Antonio,0,0,552,S,264
Mountain View,42,160,433,S,264
Sunnyvale,13,123,323,S,264
Lawrence,0,0,323,S,264
Santa Clara,2,111,214,S,264
College Park,0,0,214,S,264
San Jose Diridon,0,214,0,S,264
Tamien,0,0,0,S,264
Capitol,0,0,0,S,264
Blossom Hill,0,0,0,S,264
Morgan Hill,0,0,0,S,264
San Martin,0,0,0,S,264
Gilroy,0,0,0,S,264
San Francisco,777,0,777,S,366
22nd Street,0,0,777,S,366
Bayshore,0,0,777,S,366
South San Francisco,0,0,777,S,366
San Bruno,0,0,777,S,366
Millbrae,119,48,848,S,366
Broadway,0,0,848,S,366
Burlingame,0,0,848,S,366
San Mateo,43,76,814,S,366
Hayward Park,0,0,814,S,366
Hillsdale,0,0,814,S,366
Belmont,0,0,814,S,366
San Carlos,0,0,814,S,366
Redwood City,153,162,805,S,366
Atherton,0,0,805,S,366
Menlo Park,0,0,805,S,366
Palo Alto,230,87,948,S,366
California Avenue,27,61,915,S,366
San Antonio,0,0,915,S,366
Mountain View,0,0,915,S,366
Sunnyvale,28,309,634,S,366
Lawrence,0,0,634,S,366
Santa Clara,0,0,634,S,366
College Park,0,0,634,S,366
San Jose Diridon,31,324,340,S,366
Tamien,0,340,0,S,366
Capitol,0,0,0,S,366
Blossom Hill,0,0,0,S,366
Morgan Hill,0,0,0,S,366
San Martin,0,0,0,S,366
Gilroy,0,0,0,S,366
San Francisco,705,0,705,S,268
22nd Street,0,0,705,S,268
Bayshore,0,0,705,S,268
South San Francisco,34,19,721,S,268
San Bruno,0,0,721,S,268
Millbrae,59,33,746,S,268
Broadway,0,0,746,S,268
Burlingame,0,0,746,S,268
San Mateo,0,0,746,S,268
Hayward Park,0,0,746,S,268
Hillsdale,42,149,640,S,268
Belmont,0,0,640,S,268
San Carlos,0,0,640,S,268
Redwood City,75,117,598,S,268
Atherton,0,0,598,S,268
Menlo Park,55,55,598,S,268
Palo Alto,305,72,830,S,268
California Avenue,57,65,822,S,268
San Antonio,45,152,715,S,268
Mountain View,56,135,636,S,268
Sunnyvale,27,176,487,S,268
Lawrence,42,126,403,S,268
Santa Clara,13,56,359,S,268
College Park,0,0,359,S,268
San Jose Diridon,85,70,374,S,268
Tamien,3,108,269,S,268
Capitol,0,31,238,S,268
Blossom Hill,2,63,177,S,268
Morgan Hill,0,89,88,S,268
San Martin,0,23,66,S,268
Gilroy,0,66,0,S,268
San Francisco,890,0,890,S,370
22nd Street,0,0,890,S,370
Bayshore,0,0,890,S,370
South San Francisco,0,0,890,S,370
San Bruno,0,0,890,S,370
Millbrae,67,68,889,S,370
Broadway,0,0,889,S,370
Burlingame,0,0,889,S,370
San Mateo,0,0,889,S,370
Hayward Park,0,0,889,S,370
Hillsdale,61,167,783,S,370
Belmont,0,0,783,S,370
San Carlos,0,0,783,S,370
Redwood City,0,0,783,S,370
Atherton,0,0,783,S,370
Menlo Park,0,0,783,S,370
Palo Alto,151,121,813,S,370
California Avenue,0,0,813,S,370
San Antonio,0,0,813,S,370
Mountain View,27,319,520,S,370
Sunnyvale,0,0,520,S,370
Lawrence,0,0,520,S,370
Santa Clara,0,0,520,S,370
College Park,0,0,520,S,370
San Jose Diridon,0,520,0,S,370
Tamien,0,0,0,S,370
Capitol,0,0,0,S,370
Blossom Hill,0,0,0,S,370
Morgan Hill,0,0,0,S,370
San Martin,0,0,0,S,370
Gilroy,0,0,0,S,370
San Francisco,913,0,913,S,272
22nd Street,0,0,913,S,272
Bayshore,0,0,913,S,272
South San Francisco,0,0,913,S,272
San Bruno,28,83,859,S,272
Millbrae,0,0,859,S,272
Broadway,0,0,859,S,272
Burlingame,28,136,750,S,272
San Mateo,60,146,664,S,272
Hayward Park,0,0,664,S,272
Hillsdale,43,130,576,S,272
Belmont,0,0,576,S,272
San Carlos,24,114,486,S,272
Redwood City,0,0,486,S,272
Atherton,0,0,486,S,272
Menlo Park,0,0,486,S,272
Palo Alto,160,62,584,S,272
California Avenue,55,69,570,S,272
San Antonio,0,0,570,S,272
Mountain View,27,121,477,S,272
Sunnyvale,16,245,248,S,272
Lawrence,0,0,248,S,272
Santa Clara,4,103,149,S,272
College Park,0,0,149,S,272
San Jose Diridon,0,149,0,S,272
Tamien,0,0,0,S,272
Capitol,0,0,0,S,272
Blossom Hill,0,0,0,S,272
Morgan Hill,0,0,0,S,272
San Martin,0,0,0,S,272
Gilroy,0,0,0,S,272
San Francisco,346,0,346,S,274
22nd Street,51,5,393,S,274
Bayshore,13,21,385,S,274
South San Francisco,43,20,409,S,274
San Bruno,17,30,395,S,274
Millbrae,82,21,456,S,274
Broadway,0,0,456,S,274
Burlingame,14,72,397,S,274
San Mateo,30,30,397,S,274
Hayward Park,22,36,383,S,274
Hillsdale,48,65,366,S,274
Belmont,16,59,324,S,274
San Carlos,31,30,325,S,274
Redwood City,70,49,347,S,274
Atherton,0,0,347,S,274
Menlo Park,47,43,351,S,274
Palo Alto,0,0,351,S,274
California Avenue,0,0,351,S,274
San Antonio,0,0,351,S,274
Mountain View,20,90,280,S,274
Sunnyvale,14,65,229,S,274
Lawrence,6,54,182,S,274
Santa Clara,3,60,125,S,274
College Park,0,0,125,S,274
San Jose Diridon,8,56,77,S,274
Tamien,4,20,60,S,274
Capitol,0,12,49,S,274
Blossom Hill,0,18,31,S,274
Morgan Hill,1,15,17,S,274
San Martin,0,4,14,S,274
Gilroy,0,14,0,S,274
San Francisco,1037,0,1037,S,376
22nd Street,0,0,1037,S,376
Bayshore,0,0,1037,S,376
South San Francisco,0,0,1037,S,376
San Bruno,0,0,1037,S,376
Millbrae,136,90,1083,S,376
Broadway,0,0,1083,S,376
Burlingame,0,0,1083,S,376
San Mateo,44,148,979,S,376
Hayward Park,0,0,979,S,376
Hillsdale,0,0,979,S,376
Belmont,0,0,979,S,376
San Carlos,0,0,979,S,376
Redwood City,87,263,804,S,376
Atherton,0,0,804,S,376
Menlo Park,0,0,804,S,376
Palo Alto,88,110,782,S,376
California Avenue,18,73,727,S,376
San Antonio,0,0,727,S,376
Mountain View,0,0,727,S,376
Sunnyvale,10,335,402,S,376
Lawrence,0,0,402,S,376
Santa Clara,0,0,402,S,376
College Park,0,0,402,S,376
San Jose Diridon,8,225,185,S,376
Tamien,0,185,0,S,376
Capitol,0,0,0,S,376
Blossom Hill,0,0,0,S,376
Morgan Hill,0,0,0,S,376
San Martin,0,0,0,S,376
Gilroy,0,0,0,S,376
San Francisco,794,0,794,S,278
22nd Street,0,0,794,S,278
Bayshore,0,0,794,S,278
South San Francisco,25,22,796,S,278
San Bruno,0,0,796,S,278
Millbrae,37,45,788,S,278
Broadway,0,0,788,S,278
Burlingame,0,0,788,S,278
San Mateo,0,0,788,S,278
Hayward Park,0,0,788,S,278
Hillsdale,36,201,624,S,278
Belmont,0,0,624,S,278
San Carlos,0,0,624,S,278
Redwood City,21,131,514,S,278
Atherton,0,0,514,S,278
Menlo Park,8,59,463,S,278
Palo Alto,109,76,496,S,278
California Avenue,29,42,483,S,278
San Antonio,15,106,393,S,278
Mountain View,9,98,304,S,278
Sunnyvale,4,158,150,S,278
Lawrence,1,59,92,S,278
Santa Clara,1,33,59,S,278
College Park,0,0,59,S,278
San Jose Diridon,14,35,39,S,278
Tamien,0,39,0,S,278
Capitol,0,0,0,S,278
Blossom Hill,0,0,0,S,278
Morgan Hill,0,0,0,S,278
San Martin,0,0,0,S,278
Gilroy,0,0,0,S,278
San Francisco,665,0,665,S,380
22nd Street,0,0,665,S,380
Bayshore,0,0,665,S,380
South San Francisco,0,0,665,S,380
San Bruno,0,0,665,S,380
Millbrae,47,47,666,S,380
Broadway,0,0,666,S,380
Burlingame,0,0,666,S,380
San Mateo,0,0,666,S,380
Hayward Park,0,0,666,S,380
Hillsdale,20,137,548,S,380
Belmont,0,0,548,S,380
San Carlos,0,0,548,S,380
Redwood City,0,0,548,S,380
Atherton,0,0,548,S,380
Menlo Park,0,0,548,S,380
Palo Alto,51,85,515,S,380
California Avenue,0,0,515,S,380
San Antonio,0,0,515,S,380
Mountain View,10,257,268,S,380
Sunnyvale,0,0,268,S,380
Lawrence,0,0,268,S,380
Santa Clara,0,0,268,S,380
College Park,0,0,268,S,380
San Jose Diridon,0,268,0,S,380
Tamien,0,0,0,S,380
Capitol,0,0,0,S,380
Blossom Hill,0,0,0,S,380
Morgan Hill,0,0,0,S,380
San Martin,0,0,0,S,380
Gilroy,0,0,0,S,380
San Francisco,583,0,583,S,282
22nd Street,0,0,583,S,282
Bayshore,0,0,583,S,282
South San Francisco,0,0,583,S,282
San Bruno,12,41,554,S,282
Millbrae,0,0,554,S,282
Broadway,0,0,554,S,282
Burlingame,8,89,473,S,282
San Mateo,23,114,382,S,282
Hayward Park,0,0,382,S,282
Hillsdale,12,65,329,S,282
Belmont,0,0,329,S,282
San Carlos,12,67,274,S,282
Redwood City,0,0,274,S,282
Atherton,0,0,274,S,282
Menlo Park,0,0,274,S,282
Palo Alto,40,37,277,S,282
California Avenue,17,45,248,S,282
San Antonio,0,0,248,S,282
Mountain View,13,67,194,S,282
Sunnyvale,3,139,58,S,282
Lawrence,0,0,58,S,282
Santa Clara,0,0,58,S,282
College Park,0,0,58,S,282
San Jose Diridon,0,58,0,S,282
Tamien,0,0,0,S,282
Capitol,0,0,0,S,282
Blossom Hill,0,0,0,S,282
Morgan Hill,0,0,0,S,282
San Martin,0,0,0,S,282
Gilroy,0,0,0,S,282
San Francisco,144,0,144,S,284
22nd Street,28,6,166,S,284
Bayshore,7,5,168,S,284
South San Francisco,13,12,168,S,284
San Bruno,5,9,164,S,284
Millbrae,42,6,200,S,284
Broadway,0,0,200,S,284
Burlingame,8,25,183,S,284
San Mateo,13,13,183,S,284
Hayward Park,10,20,173,S,284
Hillsdale,17,33,157,S,284
Belmont,7,27,137,S,284
San Carlos,8,17,128,S,284
Redwood City,17,23,122,S,284
Atherton,0,0,122,S,284
Menlo Park,12,19,115,S,284
Palo Alto,0,0,115,S,284
California Avenue,0,0,115,S,284
San Antonio,0,0,115,S,284
Mountain View,7,37,85,S,284
Sunnyvale,4,27,62,S,284
Lawrence,0,0,62,S,284
Santa Clara,1,32,31,S,284
College Park,0,0,31,S,284
San Jose Diridon,0,31,0,S,284
Tamien,0,0,0,S,284
Capitol,0,0,0,S,284
Blossom Hill,0,0,0,S,284
Morgan Hill,0,0,0,S,284
San Martin,0,0,0,S,284
Gilroy,0,0,0,S,284
San Francisco,544,0,544,S,386
22nd Street,0,0,544,S,386
Bayshore,0,0,544,S,386
South San Francisco,0,0,544,S,386
San Bruno,0,0,544,S,386
Millbrae,67,48,564,S,386
Broadway,0,0,564,S,386
Burlingame,0,0,564,S,386
San Mateo,16,84,496,S,386
Hayward Park,0,0,496,S,386
Hillsdale,0,0,496,S,386
Belmont,0,0,496,S,386
San Carlos,0,0,496,S,386
Redwood City,38,135,399,S,386
Atherton,0,0,399,S,386
Menlo Park,0,0,399,S,386
Palo Alto,43,93,349,S,386
California Avenue,0,0,349,S,386
San Antonio,0,0,349,S,386
Mountain View,0,0,349,S,386
Sunnyvale,10,180,179,S,386
Lawrence,0,0,179,S,386
Santa Clara,0,0,179,S,386
College Park,0,0,179,S,386
San Jose Diridon,3,123,59,S,386
Tamien,0,59,0,S,386
Capitol,0,0,0,S,386
Blossom Hill,0,0,0,S,386
Morgan Hill,0,0,0,S,386
San Martin,0,0,0,S,386
Gilroy,0,0,0,S,386
San Francisco,460,0,460,S,288
22nd Street,0,0,460,S,288
Bayshore,0,0,460,S,288
South San Francisco,12,9,463,S,288
San Bruno,0,0,463,S,288
Millbrae,34,36,461,S,288
Broadway,0,0,461,S,288
Burlingame,0,0,461,S,288
San Mateo,0,0,461,S,288
Hayward Park,0,0,461,S,288
Hillsdale,7,123,346,S,288
Belmont,0,0,346,S,288
San Carlos,0,0,346,S,288
Redwood City,14,59,301,S,288
Atherton,0,0,301,S,288
Menlo Park,26,36,292,S,288
Palo Alto,71,50,313,S,288
California Avenue,18,32,299,S,288
San Antonio,6,39,266,S,288
Mountain View,6,80,192,S,288
Sunnyvale,5,70,126,S,288
Lawrence,4,30,100,S,288
Santa Clara,0,22,79,S,288
College Park,0,0,79,S,288
San Jose Diridon,1,59,20,S,288
Tamien,0,20,0,S,288
Capitol,0,0,0,S,288
Blossom Hill,0,0,0,S,288
Morgan Hill,0,0,0,S,288
San Martin,0,0,0,S,288
Gilroy,0,0,0,S,288
San Francisco,333,0,333,S,190
22nd Street,17,3,347,S,190
Bayshore,5,3,349,S,190
South San Francisco,4,6,348,S,190
San Bruno,10,18,339,S,190
Millbrae,42,17,365,S,190
Broadway,0,0,365,S,190
Burlingame,10,30,344,S,190
San Mateo,18,48,315,S,190
Hayward Park,8,11,312,S,190
Hillsdale,17,45,284,S,190
Belmont,5,15,274,S,190
San Carlos,2,17,259,S,190
Redwood City,27,39,247,S,190
Atherton,0,0,247,S,190
Menlo Park,12,16,243,S,190
Palo Alto,49,34,258,S,190
California Avenue,9,33,234,S,190
San Antonio,2,22,214,S,190
Mountain View,4,56,162,S,190
Sunnyvale,7,56,113,S,190
Lawrence,1,14,100,S,190
Santa Clara,1,19,82,S,190
College Park,0,0,82,S,190
San Jose Diridon,0,82,0,S,190
Tamien,0,0,0,S,190
Capitol,0,0,0,S,190
Blossom Hill,0,0,0,S,190
Morgan Hill,0,0,0,S,190
San Martin,0,0,0,S,190
Gilroy,0,0,0,S,190
San Francisco,330,0,330,S,192
22nd Street,12,2,340,S,192
Bayshore,3,3,340,S,192
South San Francisco,3,3,340,S,192
San Bruno,4,16,328,S,192
Millbrae,44,8,364,S,192
Broadway,0,0,364,S,192
Burlingame,4,15,352,S,192
San Mateo,10,26,336,S,192
Hayward Park,3,8,331,S,192
Hillsdale,12,36,307,S,192
Belmont,3,8,302,S,192
San Carlos,4,17,288,S,192
Redwood City,19,53,254,S,192
Atherton,0,0,254,S,192
Menlo Park,8,16,246,S,192
Palo Alto,37,32,251,S,192
California Avenue,8,26,233,S,192
San Antonio,4,18,219,S,192
Mountain View,8,56,171,S,192
Sunnyvale,2,57,116,S,192
Lawrence,0,12,104,S,192
Santa Clara,0,20,84,S,192
College Park,0,0,84,S,192
San Jose Diridon,0,70,14,S,192
Tamien,0,14,0,S,192
Capitol,0,0,0,S,192
Blossom Hill,0,0,0,S,192
Morgan Hill,0,0,0,S,192
San Martin,0,0,0,S,192
Gilroy,0,0,0,S,192
San Francisco,179,0,179,S,194
22nd Street,16,1,194,S,194
Bayshore,2,1,195,S,194
South San Francisco,0,6,189,S,194
San Bruno,4,4,189,S,194
Millbrae,29,9,209,S,194
Broadway,0,0,209,S,194
Burlingame,5,12,202,S,194
San Mateo,4,19,188,S,194
Hayward Park,1,3,186,S,194
Hillsdale,4,18,172,S,194
Belmont,3,2,172,S,194
San Carlos,2,5,170,S,194
Redwood City,10,26,154,S,194
Atherton,0,0,154,S,194
Menlo Park,3,9,148,S,194
Palo Alto,22,28,141,S,194
California Avenue,1,15,127,S,194
San Antonio,2,14,115,S,194
Mountain View,6,33,87,S,194
Sunnyvale,2,34,55,S,194
Lawrence,1,8,48,S,194
Santa Clara,0,10,38,S,194
College Park,0,0,38,S,194
San Jose Diridon,0,33,5,S,194
Tamien,0,5,0,S,194
Capitol,0,0,0,S,194
Blossom Hill,0,0,0,S,194
Morgan Hill,0,0,0,S,194
San Martin,0,0,0,S,194
Gilroy,0,0,0,S,194
San Francisco,97,0,97,S,196
22nd Street,10,0,107,S,196
Bayshore,1,0,108,S,196
South San Francisco,2,4,106,S,196
San Bruno,3,4,105,S,196
Millbrae,19,6,118,S,196
Broadway,0,0,118,S,196
Burlingame,1,4,115,S,196
San Mateo,2,9,108,S,196
Hayward Park,0,1,108,S,196
Hillsdale,0,5,103,S,196
Belmont,1,2,101,S,196
San Carlos,2,2,101,S,196
Redwood City,2,10,93,S,196
Atherton,0,0,93,S,196
Menlo Park,2,3,91,S,196
Palo Alto,8,19,80,S,196
California Avenue,3,7,77,S,196
San Antonio,1,7,71,S,196
Mountain View,2,20,53,S,196
Sunnyvale,0,18,36,S,196
Lawrence,0,4,32,S,196
Santa Clara,1,7,27,S,196
College Park,0,0,27,S,196
San Jose Diridon,0,27,0,S,196
Tamien,0,0,0,S,196
Capitol,0,0,0,S,196
Blossom Hill,0,0,0,S,196
Morgan Hill,0,0,0,S,196
San Martin,0,0,0,S,196
Gilroy,0,0,0,S,196
San Francisco,28,0,28,S,198
22nd Street,5,0,33,S,198
Bayshore,1,0,34,S,198
South San Francisco,3,0,37,S,198
San Bruno,1,1,37,S,198
Millbrae,6,1,42,S,198
Broadway,0,0,42,S,198
Burlingame,1,2,41,S,198
San Mateo,1,3,39,S,198
Hayward Park,1,2,38,S,198
Hillsdale,0,3,35,S,198
Belmont,0,1,35,S,198
San Carlos,0,2,33,S,198
Redwood City,1,3,31,S,198
Atherton,0,0,31,S,198
Menlo Park,0,3,28,S,198
Palo Alto,3,4,27,S,198
California Avenue,0,1,26,S,198
San Antonio,0,1,25,S,198
Mountain View,1,5,21,S,198
Sunnyvale,1,6,17,S,198
Lawrence,0,1,16,S,198
Santa Clara,1,3,14,S,198
College Park,0,0,14,S,198
San Jose Diridon,0,14,0,S,198
Tamien,0,0,0,S,198
Capitol,0,0,0,S,198
Blossom Hill,0,0,0,S,198
Morgan Hill,0,0,0,S,198
San Martin,0,0,0,S,198
Gilroy,0,0,0,S,198
